"id","text","dateAdded","complete","dateComplete"
1,Create a todo list table,2017-07-29 21:55:08,1,2017-07-29 21:55:08
2,Add a to do list to about using mysql,2017-07-29 22:28:02,1,2017-07-29 22:33:51
3,Re-arrange the sidebar to have more relevant stuff at the top.,2017-07-29 22:49:51,1,2017-08-07 01:57:47
4,Add latest news to the sidebar,2017-07-29 22:50:07,1,2017-08-07 01:58:01
5,Integrate all software changelogs to news using tags,2017-07-29 22:50:41,1,2017-07-30 00:01:14
6,Create a random Overwatch hero creator using js,2017-07-29 22:52:04,1,2017-08-03 01:10:44
7,Create an Overwatch time to level calculator using js,2017-07-29 22:52:34,0,
8,Change the search bar in news to search the body text and add separate tag buttons,2017-07-29 22:54:06,0,
9,Fix the background to have one not repeating image at the top and then either a solid colour or repeating pattern below,2017-07-29 22:56:08,1,2017-11-11 18:47:14
10,Create a username generator using js,2017-07-29 23:01:17,0,
11,Integrate a mySQL database into the Overwatch random hero generator script.,2017-07-29 23:28:48,0,
12,Remake the articles to use a single file with auto generating pages.,2017-07-30 20:57:25,1,2017-08-06 23:24:44
13,Update OverTool GUI to actually work properly with latest command changes. Also add and update checker and user tracker to it.,2017-08-04 16:54:06,1,2017-08-05 00:10:27
14,Integrate a database into the Overwatch content calendar.,2017-08-10 15:37:59,0,
15,Make an Android app for the Overwatch Hero generator.,2017-08-10 15:38:37,1,2017-11-11 18:47:43
